Gr Liv Area,Overall Qual,Year Built,SalePrice
764,5,1925,73000
1539,5,1904,157500
1323,5,1948,122600
1360,5,1910,111000
2792,6,1920,256000
672,5,1940,64000
1456,6,1915,139500
1594,4,1910,118000
2082,7,2003,200000
1656,4,1940,119164
1740,5,1920,122250
1027,7,1920,120000
1436,6,1940,155000
899,5,1910,78000
1080,5,1890,95000
789,5,1948,115000
1122,5,1948,147000
1499,5,1946,140000
407,2,1946,46500
928,5,1957,112500
901,4,1954,107900
1588,3,1949,65000
3493,7,1880,295000
1627,5,1900,139500
1416,5,1915,153900
1450,7,1920,132000
1344,5,1916,98000
1017,5,1900,114000
2350,5,1920,130000
2058,6,1917,129500
1540,5,1905,129400
1378,7,1928,161000
1912,6,1905,163000
1484,6,1914,128000
2358,8,1872,122000
1111,7,1926,116900
2775,10,1893,325000
1086,2,1920,55000
2495,7,1890,184000
984,5,1959,110000
1795,5,1954,131500
882,5,1956,97000
1093,4,1958,115500
1143,5,1928,138000
1668,7,1945,108000
935,5,1930,79500
1738,5,1935,153000
784,5,1924,109500
1210,5,1941,124000
1290,6,1900,106900
1672,6,1940,164900
949,5,1924,119000
1158,6,1929,120000
1497,6,1937,157000
1342,6,1939,105000
1013,6,1926,113000
1216,5,1920,115000
896,4,1946,79000
1136,4,1929,123000
808,5,1945,81300
1573,5,1930,162900
2009,7,1939,150000
1902,5,1923,123500
1774,7,1931,129900
1362,6,1920,128000
520,4,1927,68500
1285,5,1948,127000
1848,6,1923,207000
1820,7,1925,184000
1716,6,1915,162500
1505,5,1940,145000
838,6,1918,130000
1984,6,1910,160000
1666,8,1925,161000
1609,6,1910,127500
768,6,1930,93850
1536,6,1952,136000
1969,6,1938,141000
1308,5,1915,120000
1040,6,1925,127500
1236,6,1925,127000
1406,6,1920,89500
825,5,1955,125000
1198,6,1920,79900
759,5,1912,85000
1344,3,1915,82375
1469,6,1906,135000
1054,5,1947,124000
1211,5,1968,134000
1271,5,1948,135000
1588,4,1959,134432
1355,5,1940,127500
1075,5,1963,148000
1040,5,1965,129500
1096,6,1978,157500
904,5,1966,109900
992,5,1967,145000
894,5,1967,130000
1034,6,1978,153000
1073,5,1967,120000
1126,5,1984,152000
1258,4,1969,108959
1140,5,1920,95541
1006,5,1959,80000
1228,5,1966,149350
960,5,1963,144900
1188,6,1956,185000
1383,5,1954,165000
1252,6,1960,235000
1601,5,1958,140000
672,5,1940,108000
1721,5,1960,145000
1350,5,1941,152400
904,5,1970,144000
1291,6,1996,173000
2022,7,1977,192000
1524,7,1979,245000
1363,7,1954,241500
1663,4,1954,256000
1357,6,1959,177000
1079,7,1948,125600
1094,6,1953,155000
2358,6,1908,240000
1518,5,1940,260000
1674,6,1918,185000
2108,6,1935,235000
1509,5,1956,159900
864,5,1975,99600
1269,6,1962,134500
1367,5,1900,119000
1347,5,1910,107500
1164,5,1950,125000
1096,6,1924,79000
1111,5,1941,95000
2329,7,1990,262280
2814,6,1995,260000
1626,7,1994,226500
2200,7,1993,225000
2037,7,1996,229000
1356,7,2007,177439
1615,8,2007,248500
2276,9,2008,475000
1766,9,2008,395039
2097,7,1993,228000
1511,8,1995,225000
1643,6,1966,195000
1688,6,1997,200000
990,5,1994,155000
1099,5,1995,144000
990,5,1994,145000
1418,7,1997,226001
1771,6,1997,215700
1652,7,2000,207500
1790,7,1999,193000
1724,7,1998,188000
1479,7,1999,191000
1494,7,2002,221000
1792,7,2001,231500
1823,7,2000,235000
1786,7,2001,223500
938,5,1975,130250
985,5,1977,149900
1174,5,1978,158000
1026,6,1978,147000
1076,5,1975,143195
1558,5,1975,163000
924,5,1975,110000
864,5,1972,127000
780,5,1972,124900
1795,8,2002,230000
2031,8,2002,237000
1865,7,2000,235000
2161,7,2001,230500
1852,8,1999,230000
2031,7,1998,222500
2263,8,2001,287000
1947,9,2001,274000
1786,8,2002,300000
2290,8,2002,255900
1768,7,2003,224900
2327,7,2003,240000
1640,7,2003,183000
1764,8,1999,207000
1908,7,1994,210000
848,6,2003,136500
848,6,2004,145000
1493,6,1997,208900
1838,6,1997,185000
1536,7,2002,214000
1710,7,2003,208500
1445,7,2004,186500
1436,7,2004,210000
1582,7,2004,185900
1234,8,2007,179900
1564,7,2007,218836
1361,7,2007,193000
1456,7,2005,189000
848,6,2004,149300
848,6,2004,141000
848,6,2004,149000
848,6,2004,144500
796,5,1910,85000
2200,5,1900,145900
1092,5,1966,123000
1256,5,1965,147500
1033,5,1976,165000
1127,6,1976,135000
996,5,1940,108000
1181,4,1972,137500
1656,7,2003,165400
1117,6,1977,147000
1398,6,1976,160500
1132,4,2005,176000
3820,5,1959,284700
5642,10,2008,160000
1072,6,2005,148000
1152,4,1955,82000
1152,4,1955,82000
1440,4,1955,118000
1152,4,1955,82500
784,4,1955,91900
1053,5,1938,120000
1137,5,1947,96000
930,4,1953,99000
1200,5,1946,130500
1470,4,1954,135000
1393,5,1955,135500
1204,4,1954,100000
1292,4,1923,108000
864,5,1925,98000
864,3,1914,67000
1716,5,1912,135900
1482,6,1925,140000
2192,5,1939,179500
1694,6,1925,136500
1424,7,1921,168000
1964,5,1911,130000
2601,5,1921,189000
1920,6,1930,161900
1316,6,1926,145000
2555,6,1922,191000
1680,6,1915,177000
1264,6,1914,147500
790,6,1930,91000
1512,8,1925,231000
1639,6,1936,115000
1603,6,1923,138000
1502,7,1931,149000
1660,6,1934,188700
1938,5,1937,198000
1374,5,1938,110000
1091,6,1951,104000
1873,8,1935,257076
3447,8,1935,381000
1954,7,1939,311500
2161,7,1950,263400
1898,5,1956,236500
1640,6,1954,224000
1032,6,1980,116500
1556,6,1980,151000
919,6,1926,126000
1090,6,1940,120000
796,4,1922,55000
816,6,1930,120500
778,5,1940,120500
1200,5,1930,119000
1656,5,1967,126000
912,5,1930,99500
1955,5,1958,165500
733,1,1952,13100
1361,4,1895,89000
1317,4,1920,40000
1049,4,1910,80900
894,3,1935,81000
864,4,1920,65000
1652,8,2008,392500
1648,8,2007,294464
1646,7,2004,250000
1646,8,2004,275000
2032,7,1996,300000
1689,8,2002,271000
1820,7,1996,213000
1118,6,1977,171000
1279,6,1977,171500
1872,5,1976,100000
1689,4,1991,228500
1786,5,1965,228950
1501,7,1986,241500
2898,8,1976,287000
1537,8,2006,294000
1646,8,2007,293077
1780,8,2007,264966
1442,5,2006,172500
1394,5,2006,167500
1612,7,2008,218689
1495,6,1989,150000
1651,6,1986,184000
1256,6,1986,180000
1509,6,1988,175000
1440,8,2003,232500
1675,6,1999,195000
2262,8,2003,305000
1728,8,2007,298751
1964,8,2005,370000
1344,7,1997,209200
1344,7,1997,206300
1092,5,2007,146000
1189,6,1997,160500
1200,4,1964,173000
1040,5,1975,124000
1304,5,1976,115000
1475,5,1976,129500
988,4,1973,105000
988,4,1973,94900
1160,5,1968,152500
1092,6,1970,98000
630,4,1972,81000
988,5,1954,113000
816,5,1983,128500
923,5,1984,119500
816,5,1982,130500
816,5,1982,138000
845,5,1982,134500
1750,6,1940,160000
889,5,1984,137500
1968,5,1969,172000
1836,5,1900,103000
1587,6,1971,167300
1277,7,1970,167000
2223,7,1973,244000
2217,8,1970,268000
1733,7,2003,225000
1572,6,1995,168000
1470,6,1997,177000
1600,6,1997,169000
1384,6,1997,161500
1652,8,2000,251000
1694,6,1994,160000
1714,6,1999,180000
1553,7,1996,178750
1253,7,1995,176000
2299,6,1999,204000
1187,7,1992,160000
1472,7,1991,160000
1482,7,1992,163900
1642,6,1993,168000
1128,6,1964,154204
1088,8,1986,170000
2090,7,1984,207500
1179,8,1988,182000
1321,8,1990,212000
1922,9,2005,377426
2541,8,2005,349265
2338,9,2006,591587
1424,5,1969,155000
1612,9,2006,319900
1419,8,2007,392000
2234,8,2006,441929
2042,10,2006,455000
1440,6,1981,182900
1284,6,1984,174000
1868,6,1984,178000
1479,7,1981,176000
1664,7,1978,213000
1930,7,1979,192000
1969,7,1977,190000
2030,6,1976,195000
1032,6,1978,148000
1177,6,1984,151500
1725,7,1979,197000
1353,6,1979,192350
1620,5,1969,152000
1220,6,1971,170000
1484,5,1971,175000
1743,6,1968,175000
1935,7,1976,197900
1324,7,1976,174000
1877,6,1974,178900
1109,5,1971,139000
981,6,1971,143250
1479,7,1972,184000
1422,5,1970,155000
914,5,1970,133000
950,5,1971,119500
872,4,1971,123000
858,4,1971,110000
914,4,1961,128000
864,4,1971,120500
767,7,1998,133000
1337,6,2001,155000
1337,6,1997,177000
1092,6,1973,113500
1218,6,1973,113000
1218,6,1973,113700
1302,5,1970,106000
1365,5,1971,122500
958,6,1976,128000
1548,6,1976,155000
1055,7,1978,142500
988,5,1966,129250
1816,9,2006,356000
1828,9,2007,314813
1694,8,2007,318000
1694,8,2006,322400
1734,8,2007,318000
2122,8,2007,345474
2121,9,2006,415298
2656,9,2007,492000
2550,8,2006,338931
2046,10,2005,450000
2172,7,2006,280000
2552,9,2007,479069
1973,8,2006,395000
2643,9,2006,380000
1634,8,2006,250000
1976,8,2006,440000
2758,9,2005,418000
2290,10,2007,500067
2152,8,2007,260116
2473,8,2004,317000
2100,8,2007,319500
2161,8,2007,325624
1802,9,2006,372000
2956,8,2004,342000
2468,8,2004,354000
2385,8,2003,350000
2374,8,2003,285000
1818,8,2007,281500
1614,7,2005,245700
1721,8,2005,232698
1828,8,2006,250000
1362,6,2005,194700
1302,6,2005,204000
1302,6,2005,200000
1362,6,2005,207000
1554,8,2006,209500
1554,8,2006,209500
1370,8,2006,202500
1577,9,2005,280000
1561,9,2005,277500
1869,9,2007,318061
1324,8,2006,221370
1405,7,2003,200000
1496,6,2007,181755
1536,6,2005,176000
1484,6,2005,178900
1458,7,2006,168165
1495,6,2006,171925
1746,6,2006,198444
1326,6,2005,203000
1456,7,2007,179540
1302,7,2007,176485
1340,7,2007,181134
1412,6,2006,156932
1504,6,2007,166000
1456,7,2007,177594
1258,7,2007,173500
1258,7,2006,172500
1402,7,2006,194201
1589,8,2003,226500
1266,7,2007,185485
1530,7,2004,259000
1119,7,2004,188500
1374,7,2004,175000
1959,7,2004,215000
1525,7,2006,206580
1720,7,2004,183500
1394,7,2003,165500
1948,7,2003,211000
1690,6,2000,181000
1995,7,2002,219500
1647,6,1999,175000
1430,7,2000,170000
1320,7,2003,162000
1690,6,2000,187000
1644,6,1999,185000
4476,10,1996,745000
2551,8,1997,384500
2285,8,2000,248000
2633,10,2001,466500
3078,9,1998,410000
2582,8,1998,322500
2385,7,1998,252000
4316,10,1994,755000
2013,7,1996,269790
2398,7,1996,315750
2520,7,1995,290000
2531,8,1995,290000
3228,8,1992,430000
2202,8,1992,263000
2538,8,1996,330000
1369,7,2007,213133
1542,8,2007,260261
1905,9,2006,320000
1464,8,2007,282922
1534,8,2006,215000
1966,10,2007,419005
1636,8,2006,255000
1795,8,2006,147000
1528,7,2007,235876
1726,7,2007,311872
1689,7,2007,248328
1588,8,2006,227000
1538,8,2005,260000
1496,8,2007,225000
1506,7,2005,249000
1694,8,2004,307000
1977,7,2006,250000
1830,8,2006,221300
1338,8,2007,208900
1335,7,2006,210400
1792,8,2007,255000
1588,5,2007,212109
1959,8,2006,270000
2610,8,2007,303477
1880,8,2007,310013
1656,8,2006,249700
1761,7,2007,227875
1584,8,2007,261329
1685,8,2006,253000
2443,6,2004,265000
2466,8,2004,340000
1100,6,2006,146000
1143,7,2006,147000
1094,5,2003,149000
1486,7,2006,181000
1721,6,1994,201000
1820,6,1993,191750
1349,7,2000,179000
1494,7,1998,215000
1575,6,1992,179200
1266,6,1980,128000
884,5,1983,144000
2020,5,1977,144000
894,5,1977,120750
970,5,1963,132500
1057,5,1962,132000
999,5,1962,132500
1120,4,1961,129000
1696,5,1962,143900
1040,5,1968,145000
988,5,1961,128500
902,5,1967,125500
2503,7,1990,300000
2167,7,1974,294000
1037,5,1974,129000
1701,5,1975,171000
1055,6,1973,147000
2810,8,1990,302000
2872,8,1992,285000
1378,8,2004,214000
1151,8,2006,166000
1565,8,2006,193800
1352,7,2006,208900
1352,7,2006,194000
1550,8,2006,207500
1241,7,2006,199900
1250,7,2006,164700
1501,6,1999,176500
1458,6,1999,176000
1512,6,2000,168500
1573,6,2000,177000
1525,6,2000,177000
1102,7,2004,148800
1441,8,1999,174000
1950,7,1997,239000
1358,7,1999,204000
2048,8,2003,301000
2362,8,1998,312500
1494,8,1994,279700
2362,7,1980,255000
1432,5,1978,194000
1437,5,1976,218000
1295,8,1978,213750
1855,6,1976,187000
1262,6,1976,181500
2497,8,1981,373000
2620,5,1977,190000
1929,7,2001,226000
1152,6,1968,143450
2411,6,1970,240050
1082,6,1969,162500
1295,6,1968,164000
1610,7,1972,185000
1594,7,1993,188500
2075,7,1993,255000
1680,5,1976,136905
1093,6,1966,158500
1242,7,1973,175500
1052,6,1963,127000
1107,5,1967,127000
1214,5,1967,143000
1073,5,1965,156000
1344,5,1958,144000
1728,5,1964,119000
1224,4,1964,103000
1422,5,1960,139900
958,6,1960,151500
1065,5,1960,126500
1138,6,1958,145000
912,5,1958,120000
1074,5,1956,124000
882,5,1959,106500
1187,5,1961,140500
964,5,1961,137500
894,5,1960,117600
1200,7,1966,163500
1042,6,1965,161000
1302,6,1964,158000
2154,6,1964,224500
1374,6,1964,147000
1652,6,1959,200000
1429,6,1960,181900
1327,5,1959,150750
1224,4,1962,101800
932,6,1950,124000
908,5,1940,138500
334,1,1946,39300
666,3,1946,64500
670,3,1945,64000
808,5,1958,112000
1977,6,1964,165000
1150,5,1955,144000
1920,5,1948,137000
1376,5,1941,105000
1644,5,1942,146500
1560,5,1968,126000
1280,5,1966,175000
1254,6,1961,158500
912,5,1958,114500
1524,5,1958,144000
2380,6,1965,129000
936,6,1957,141000
1008,5,1956,131000
1053,5,1963,142100
1056,5,1958,139000
1442,6,1958,157900
1056,5,1954,139400
1244,6,1957,150000
1144,5,1960,120000
1721,6,1957,174850
922,5,1957,116000
1048,5,1956,135000
1657,6,1970,163500
1411,5,1955,130000
1216,5,1955,129500
1154,5,1953,142000
1560,5,1958,128600
948,6,1952,125000
1040,6,1953,136000
1008,5,1953,134500
925,5,1956,127000
1360,5,1955,130000
1540,4,1955,115000
925,5,1955,116900
928,5,1956,132000
1647,4,1953,153000
924,5,1952,112500
1544,4,1890,138000
893,5,1949,135000
1728,5,1953,156000
3086,5,1935,301600
1034,5,1940,109000
882,4,1956,103200
1281,4,1925,128500
968,4,1927,64500
1534,5,1895,148000
691,5,1920,86000
1651,7,1963,172000
888,5,1961,120000
952,6,1968,128500
2080,5,1969,135000
924,5,1949,122900
1082,6,1948,119200
1846,6,1949,143000
988,5,1950,119000
1238,5,1950,102000
864,5,1950,129000
1134,5,1960,135000
1040,5,1959,152000
1170,5,1958,140000
1242,5,1960,152000
1377,5,1960,156500
1800,5,1961,141000
925,5,1961,99000
1851,6,1964,187000
1812,5,1962,169500
864,5,1962,125500
936,5,1962,130000
960,5,1926,103000
1432,5,1910,132000
1296,6,1927,127500
1022,5,1922,89500
936,5,1980,140000
967,5,1920,99900
1047,4,1885,100000
1072,5,1940,130000
1174,5,1900,135000
1183,3,1948,120000
1131,4,1937,89471
1141,4,1900,85000
960,4,1920,108500
1798,4,1900,137000
866,5,1945,110500
968,5,1923,100000
1772,8,1910,184900
1642,6,1927,145000
1472,5,1925,125000
1232,5,1910,114000
2337,5,1900,90000
1650,6,1910,144100
2210,6,1880,117500
1358,5,1930,124500
2454,7,1879,185000
2291,6,1910,133900
1616,6,1926,152000
1559,5,1948,153500
2554,7,1890,159500
1248,5,1930,87000
968,4,1956,104500
1382,4,1949,110000
1060,5,1925,136500
1435,5,1950,128250
1167,5,1920,144000
1635,6,1923,210000
1274,5,1939,135000
1232,6,1939,128000
1218,6,1941,131000
884,5,1939,113000
1409,6,1938,126000
1322,5,1939,132000
1426,5,1930,131750
1281,5,1926,132500
1513,5,1920,137500
854,7,1929,132000
1367,6,1931,127500
986,6,1926,102000
2264,6,1918,200000
1824,6,1919,180500
1376,6,1920,165000
1316,5,1926,90000
1396,6,1915,153575
1344,7,1929,140000
2526,6,1916,136000
1173,5,1901,113000
1214,5,1901,117000
1818,7,1931,169500
1108,7,1930,139400
2294,6,1963,202500
1355,6,1914,127000
1375,6,1937,141000
1952,7,1950,212300
2180,6,1915,161000
1315,4,1958,99500
1111,5,1920,101000
1196,4,1916,109900
1382,5,1941,128500
1889,7,1910,122000
840,5,1930,87000
1484,4,1910,50000
2267,7,1937,219000
3086,5,1946,200500
1134,5,1940,126000
1282,5,1942,108500
999,5,1963,130000
1452,5,1964,158450
1005,4,1964,115400
1029,4,1961,118500
1020,5,1964,165000
1040,5,1966,123000
913,6,1966,129000
894,5,1966,125000
948,5,1968,108000
868,5,1971,119900
897,5,1968,115000
943,5,1967,134500
955,5,1966,127000
894,5,1968,129000
1285,6,1977,143500
912,5,1966,129000
1375,5,1956,187000
2654,5,1920,158000
1416,5,1918,112000
1302,7,1940,165250
1299,6,1954,150000
1176,5,1958,137000
998,4,1945,89500
1824,7,1971,302000
1522,6,1984,182000
2060,6,1988,211000
1325,5,1948,216000
1630,5,1953,130000
1242,4,1946,109900
2422,6,1954,255000
2158,6,1950,243000
1626,6,1954,154000
864,5,1958,118000
943,4,1958,80000
1440,4,1977,150000
605,4,1920,86000
1038,5,1984,130000
1342,5,1951,125000
1480,5,1951,136500
1362,4,1920,96000
1340,5,1957,120000
1822,6,1984,228500
1442,7,1990,179900
2243,7,1990,225000
2730,7,1986,301000
2127,7,1991,238000
1982,7,1989,228500
1958,7,1994,220000
2696,7,2007,383970
2828,8,2006,424870
1651,8,2007,250000
2140,8,2006,360000
1494,7,2006,279500
1316,7,2007,200141
1651,8,2007,246500
2574,8,2007,276000
1274,7,2005,203000
1456,7,2006,155835
1240,7,2006,194000
1208,7,2007,195400
1546,7,2005,217000
1500,8,2006,212999
1270,7,2005,175900
1795,7,2005,191000
1314,6,2006,176432
2062,7,1988,277000
1873,7,1988,207000
2144,6,1958,277000
1953,6,1992,240000
2087,6,1966,187500
1743,8,1976,279000
1022,5,1994,139500
990,5,1994,126000
1200,6,1995,177500
1308,6,1997,175000
1796,6,1998,211000
990,5,1994,146000
1097,5,1996,147900
990,4,1994,123600
1786,6,1997,204750
1873,7,1999,235500
1753,7,1998,217000
1690,7,2001,190550
1842,7,2000,217500
1479,7,2003,226000
1668,7,2003,180000
894,5,1974,131000
1025,5,1976,153500
1009,5,1977,160000
1040,5,1977,134900
907,5,1977,130000
879,5,1975,120000
882,5,1972,112500
969,5,1975,122000
864,5,1972,127000
875,4,1972,117000
2000,8,2004,305900
2169,8,2002,228500
1673,7,2000,270000
1459,7,2002,192000
1932,7,2003,213000
1729,7,2002,200000
2452,8,1998,267000
1592,8,1994,228000
2439,8,2001,275000
1992,7,1996,211000
1668,9,2002,285000
2090,8,1995,240000
848,6,2003,131500
1341,8,1999,246900
1928,7,2003,219500
1337,7,2003,185000
1476,7,2007,179400
1797,7,2006,213500
1422,7,2004,179600
1190,7,2005,173500
1330,6,2006,167840
1491,7,2006,168675
1536,5,2005,167000
1214,5,1965,140000
936,5,1967,118500
1088,4,1963,110000
960,4,1965,94750
1351,5,1925,122000
1179,6,1960,110000
816,6,1990,118500
1044,6,1976,133500
1113,6,1976,148000
2233,5,1979,141000
1125,5,2006,155000
1090,5,2005,157000
1408,5,2005,171500
5095,10,2008,183850
4676,10,2007,184750
1072,6,2005,140000
960,5,1959,131750
1152,4,1955,61500
948,4,1954,111000
1195,5,1946,98500
774,3,1931,79000
865,6,1920,108500
894,4,1954,110000
1346,4,1910,112000
768,4,1955,125000
864,4,1955,79275
948,4,1954,119000
3395,6,1914,200000
2592,5,1923,150000
1502,6,1923,165000
789,5,1926,96500
1422,5,1926,136500
1298,6,1921,146500
1768,5,1937,175000
1098,7,1930,148500
1436,6,1921,141500
1426,7,1918,189950
1461,6,1926,135000
1646,7,1941,164000
694,5,1913,90350
1250,5,1910,139000
954,5,1938,119750
1958,6,1946,145000
2002,5,1949,145000
1718,7,1927,238000
1226,5,1951,153500
2624,6,1918,239000
3194,8,1934,359100
1755,4,1930,188000
1991,6,1932,220000
1355,5,1941,140000
2727,8,1932,315000
2320,6,1945,259500
1839,6,1957,257500
1740,7,1940,219500
2259,6,1953,217000
1560,6,1960,201000
1488,6,1968,215000
1045,6,1980,123900
1680,4,1995,170000
1020,8,1988,200000
1696,7,1971,198000
2515,6,1957,200624
2726,8,1986,315000
1517,5,1919,115000
1215,6,1940,141000
803,5,1941,87000
1601,5,1925,129850
1123,4,1939,100000
1828,5,1923,150909
816,5,1922,75200
1012,6,1920,118400
1077,5,1920,67000
1558,5,1950,152000
845,2,1939,68104
1991,5,1895,119600
1073,4,1957,140000
1001,5,1930,124900
1625,8,2006,375000
1625,8,2006,235000
1299,6,1979,183500
912,6,1978,156000
1080,6,1983,134000
1392,5,2002,215000
1409,7,2002,245000
1478,7,1991,210000
918,7,1975,148000
1026,6,1974,143000
1501,7,1987,244000
1502,7,1998,330000
1328,5,1959,170000
2279,6,1958,257000
1689,7,2006,231713
1564,8,2006,267300
1484,8,2006,265900
1571,8,2007,239000
1646,8,2006,248900
1240,7,1985,174000
1717,7,1990,187500
1756,6,1996,204000
1312,8,2001,180500
1146,7,2003,187500
1922,8,2002,282000
1491,6,1996,178000
1629,8,2002,270000
2486,7,2003,279900
1572,5,1963,186700
1776,8,2006,283463
1824,10,2006,392000
2482,8,2005,281213
1120,5,2007,147000
2034,3,1953,130000
936,6,1996,140000
1040,4,1963,132250
1632,5,1967,143000
1622,4,1961,168000
1060,5,1976,129900
1142,5,1976,134000
1092,4,1972,85500
992,4,1970,106500
1092,4,1970,93900
1092,4,1970,75000
630,4,1970,84500
1092,4,1976,75190
1062,6,1976,146800
1008,5,1977,153500
1356,6,1977,188000
1676,5,1977,196000
1432,5,1977,157000
796,5,1971,138000
768,5,1970,129500
1608,4,1961,80000
845,4,1982,129500
1178,5,1976,135000
816,5,1982,124500
816,5,1983,139000
974,5,1991,93500
887,5,1984,124500
1293,6,1954,149900
1024,6,1956,157500
1797,5,1957,169000
1390,6,1957,252000
1851,7,1969,192100
1525,6,1997,183500
2236,7,1997,222000
1671,6,1995,170000
1498,6,1995,187500
1776,6,1996,202000
1511,6,1997,185000
2462,7,2005,320000
1670,7,2006,240000
2064,8,2005,250000
1801,8,2005,239900
2212,7,2005,309000
2021,7,2006,274725
2687,8,1994,270000
1169,6,1993,183500
1501,6,1993,165600
1632,7,1998,176500
1204,8,1987,130000
1767,7,1987,239000
1742,8,1985,275000
2798,9,2005,457347
3390,10,2006,545224
2473,9,2006,356383
2868,9,2005,556581
2576,8,2006,361919
2698,10,2006,535000
2795,9,2005,401179
2945,10,2006,438780
2320,5,1948,169000
1056,5,1955,145000
1714,9,2005,318000
1826,8,2005,319000
2000,9,2005,470000
1621,7,1984,202500
2183,7,1988,229000
2263,7,1977,235000
1574,6,1976,190000
1102,6,1980,169000
1872,7,1988,241500
1857,7,1978,188900
1686,6,1980,207500
2784,7,1978,250000
1552,6,1975,179900
1083,7,1976,172000
2318,7,2005,294323
1875,6,1975,184500
1074,5,1975,153500
1664,7,1976,162900
1309,6,1974,181000
1103,6,1974,155000
1096,5,1969,138800
864,4,1970,116050
858,4,1971,88000
874,4,1971,97500
1419,6,2002,190000
1092,6,1973,105500
1365,5,1973,125500
987,6,1973,83000
1030,6,1972,116000
1218,6,1971,91500
1218,6,1972,118000
948,6,1972,89000
1092,6,1972,108000
987,6,1972,94500
1069,6,1975,146300
1387,5,1967,145000
900,5,1967,123000
1055,7,1976,137500
1456,6,1976,144000
1980,9,2004,315000
2589,9,2006,412083
2596,9,2006,342643
1618,8,2004,252000
2076,10,2006,465000
1740,7,2006,293000
1868,9,2005,415000
1850,9,2004,326000
2376,8,2005,325300
2452,8,2004,309000
2206,9,2005,300000
2098,8,2005,275500
2091,9,2005,338500
2324,9,2005,345000
2253,8,2005,344133
2389,8,2006,298236
2358,8,2005,329900
1944,9,2003,360000
1970,8,2006,281000
1792,9,2005,372397
1780,9,2004,378000
1792,9,2003,374000
2728,9,2005,437154
1904,8,2005,275000
1914,8,2004,279000
1364,7,2005,185850
1565,9,2005,282500
1368,7,2005,202500
1368,7,2005,202665
1686,9,2006,332200
1666,9,2006,310090
1405,7,2003,171750
1316,6,2005,169990
1456,6,2005,170440
1492,7,2006,169985
1496,7,2006,179665
1863,7,2006,219210
1326,6,2006,174190
1456,6,2006,172785
2373,8,2004,258000
1492,7,2006,185101
1364,7,2006,210250
1557,7,2003,234000
1456,8,2003,215000
1511,7,2002,246990
1414,7,2004,178740
1548,7,2004,225000
1248,7,2005,167240
1142,7,2005,156820
1506,7,2005,213490
1567,8,2006,264561
1500,7,2006,246578
1838,5,2005,192140
1509,6,2002,183200
1414,8,2004,178000
1598,7,2004,201490
1936,8,2000,230500
1509,7,2003,180000
1664,6,2000,172400
1889,6,2000,215000
1886,7,1998,199900
1671,6,2000,173000
2322,7,2006,287602
2291,7,1999,230000
2392,8,1997,348000
1976,8,1998,286000
2234,8,2000,300000
3627,10,1995,625000
2855,9,2000,405000
1924,8,1998,280000
2263,8,1998,258000
2726,8,1995,350000
3500,9,1993,584500
2494,8,1994,321000
2526,8,1994,290000
2799,8,1993,315000
1964,8,2005,252000
1670,8,2006,336820
2097,8,2005,423000
1660,8,2006,290000
1616,7,2005,232000
1504,8,2006,199000
1278,8,2006,198600
2640,9,2006,405749
1489,8,2006,232600
1939,8,2006,266000
1553,7,2005,186500
1716,6,2005,200825
1576,7,2006,197000
1262,6,2006,185000
1266,7,2005,176000
1301,7,2006,187750
1142,6,2005,139500
1400,7,2005,186800
1131,6,2005,132000
1141,6,2005,142500
1158,6,2004,158000
1686,7,2005,184000
1585,7,2005,184900
1837,6,1997,187000
1603,6,1992,175900
1731,6,1992,248500
1398,6,1990,172000
1217,6,1991,151000
1320,6,1994,150000
1056,4,1966,107000
965,5,1965,119900
988,5,1962,129500
1728,5,1963,125000
1654,6,1977,119500
1211,5,1962,144000
1212,6,1977,151000
984,5,1965,126000
909,5,1968,116000
925,5,1963,133500
1024,5,1965,120875
935,5,1965,137000
912,5,1964,124000
1236,5,1961,135000
941,5,1967,129200
2646,7,1974,260000
2417,8,1991,260000
2826,8,1992,334000
2520,8,1993,310000
2295,7,1992,268000
1624,8,1994,262000
1143,7,2004,176400
1247,8,2005,197000
1200,7,2005,151000
1223,7,2005,147400
1223,7,2005,149900
1200,7,2005,144152
1524,6,2000,166000
1452,7,1999,183900
1382,7,2000,165000
1080,7,2003,139000
1694,7,1997,200000
1568,8,2001,221000
1494,8,1995,270000
1208,6,1977,165000
1235,8,1980,214000
1036,8,1980,188000
1226,8,1980,190000
1226,8,1978,170000
1842,9,1981,385000
1193,5,1972,146500
1920,7,1968,170000
2156,7,1968,262500
1416,6,1968,179900
2654,6,1968,250000
1790,6,1972,165150
1334,7,1967,164500
1164,7,1969,140000
980,5,1967,135500
1051,5,1968,142000
1770,5,1968,155000
976,6,1968,157500
1052,5,1968,138500
898,5,1968,140000
1051,5,1966,124400
1141,5,1967,158000
1200,5,1965,146000
1993,6,1971,190000
1050,5,1961,136500
864,5,1958,129900
1712,5,1959,145000
1565,6,1965,185900
1251,6,1964,160000
1488,6,1964,167000
1440,5,1964,157500
1095,6,1958,140000
1053,5,1958,150000
1248,5,1960,151500
816,6,1934,129800
1008,5,1954,137000
1043,5,1947,137000
1230,4,1946,121600
869,4,1923,85500
747,4,1926,79900
1252,5,1908,127000
1433,5,1961,161000
1624,5,1952,146500
1216,5,1951,135000
2136,5,1951,137900
1578,6,1941,133000
1728,5,1949,137000
936,5,1954,121000
1584,5,1967,119000
1246,6,1964,172000
1235,5,1961,98600
2157,7,1966,226000
1128,5,1954,118000
3112,8,1918,235000
1008,6,1963,135000
